state,year,cpi,pop,cigarcons,income,cigartax,cigarprice,cigartaxspecific
AL,1985,1.076,3973000,116.48628,46014968,32.500004,102.18167,33.348335
AR,1985,1.076,2327000,128.53459,26210736,37,101.475,37
AZ,1985,1.076,3184000,104.52261,43956936,31,108.57875,36.170418
CA,1985,1.076,26444000,100.36304,447102816,26,107.83734,32.104
CO,1985,1.076,3209000,112.96354,49466672,31,94.266663,31
CT,1985,1.076,3201000,109.27835,60063368,42,128.02499,51.483334
DE,1985,1.076,618000,143.85114,9927301,30,102.49166,30
FL,1985,1.076,11352000,122.18112,166919248,37,115.29,42.490002
GA,1985,1.076,5963000,127.23462,78364336,28,97.025169,28.841833
IA,1985,1.076,2830000,113.74558,37902896,34,101.842,37.917
ID,1985,1.076,994000,103.01811,11577261,25.1,102.89933,29.057667
IL,1985,1.076,11401000,123.20848,176786352,28.000006,104.44025,28.915257
IN,1985,1.076,5460000,137.63737,71751616,26.5,96.18,31.08
KS,1985,1.076,2428000,116.6804,34784360,32,98.922913,34.881248
KY,1985,1.076,3695000,186.03519,42703144,19,87.001251,23.142918
LA,1985,1.076,4409000,127.55727,53431900,32,108.394,36.168999
MA,1985,1.076,5881000,115.6776,98328688,42,112.20834,42
MD,1985,1.076,4414000,120.97871,74851664,29,91.966667,29
ME,1985,1.076,1163000,128.11694,14575292,36,107.0475,41.0975
MI,1985,1.076,9077000,128.00485,133728040,37,104.91417,37.830833
MN,1985,1.076,4185000,112.90323,63152360,34,113.64967,40.432999
MO,1985,1.076,5001000,130.37393,69341920,29.000004,99.338165,29.854837
MS,1985,1.076,2588000,117.04018,25678534,27.583332,105.29333,33.543331
MT,1985,1.076,822000,104.2579,9785230,32,99.291664,32
NC,1985,1.076,6255000,155.28377,79104656,18,84.967995,21.268
ND,1985,1.076,677000,105.46529,8672948,34,106.808,38.108002
NE,1985,1.076,1585000,107.38171,21778072,34,104.60667,38.023335
NH,1985,1.076,997000,197.99399,15767469,33,95.5,33
NJ,1985,1.076,7566000,116.52128,133549208,41,110.41666,41
NM,1985,1.076,1439000,88.74218,17258916,28,102.778,31.952999
NV,1985,1.076,951000,141.95584,14581495,31,114.1885,37.463501
NY,1985,1.076,17794000,116.66292,297728512,37.000004,109.99783,37.881172
OH,1985,1.076,10736000,127.59874,153455776,30,100.42374,34.782082
OK,1985,1.076,3272000,127.13937,43395580,34,101.46808,34.826416
OR,1985,1.076,2673000,119.4538,36205164,35,97.033333,35
PA,1985,1.076,11772000,117.70303,170033840,34,109.07401,40.174
RI,1985,1.076,967000,132.78178,14229156,39,100.94167,39
SC,1985,1.076,3304000,127.20944,38536176,23,90.641251,27.31625
SD,1985,1.076,698000,106.59026,8340000,31,97.083336,31
TN,1985,1.076,4716000,129.83459,57749668,29,101.9455,34.7705
TX,1985,1.076,16275000,115.10293,231003152,35.25,107.38,39.380001
UT,1985,1.076,1643000,68.046257,19462380,28,110.19584,34.237499
VA,1985,1.076,5716000,134.0098,87361632,18.500002,91.615334,22.023668
VT,1985,1.076,530000,145.28302,6887097,33,100.98334,33
WA,1985,1.076,4401000,96.228127,64846548,39,129.46109,47.469418
WI,1985,1.076,4748000,107.877,65732720,41,114.59,46.456665
WV,1985,1.076,1907000,112.8474,20852964,33,108.91125,38.186249
WY,1985,1.076,500000,129.39999,7116756,24,93.466667,24
AL,1995,1.5239999,4262731,101.08543,83903280,40.500004,158.37134,41.904671
AR,1995,1.5239999,2480121,111.04297,45995496,55.5,175.54251,63.859169
AZ,1995,1.5239999,4306908,71.95417,88870496,65.333328,198.6075,74.790825
CA,1995,1.5239999,31493524,56.859306,771470144,61,210.50467,74.771332
CO,1995,1.5239999,3738061,82.582924,92946544,44,167.35001,44
CT,1995,1.5239999,3265293,79.472191,104315120,74,218.2805,86.355499
DE,1995,1.5239999,718265,124.4666,18237436,48,165.60001,48
FL,1995,1.5239999,14185403,93.074554,333525344,57.900002,187.71718,68.525505
